Name,Country,Start year,End year,Proven victims,Possible victims,Notes,Decade,Career_Length,Victims_Per_Year
Maurizio Minghella,Italy,1978,2001,15,15,"Killed five sex workers; imprisoned and released, after which he killed 10 more; sentenced to life imprisonment.",1970,23,0.6521739130434783
Bai Baoshan,China,1983,1997,15,15,Robber who killed 15 people while robbing several police stations; executed by gunshot in 1998.,1980,14,1.0714285714285714
Lee Choon-jae,South Korea,1986,1994,15,15,"Also known as the Hwaseong serial murders. Most of the victims were bound, gagged, and strangled to death with their own clothes. It sparked the largest criminal case in South Korea with two million officers mobilized and over 21,000 suspects investigated. A suspect was identified in 2019, but he could not be prosecuted due to the statute of limitations. He later confessed to killing 15 people, in addition to the murder of his sister-in-law.",1980,8,1.875
Carl Eugene Watts,United States,1974,1982,14,100,"Believed to have killed over 80 women in multiple states, in 1982 Watts accepted a plea bargain in Texas in which he would plead guilty to a lesser charge and be granted immunity from murder charges in exchange for providing information on his victims; as a result he confessed to 12 murders and was sentenced to 60 years in prison on the lesser charge. He was sentenced to life imprisonment in separate trials in Michigan in 2004 and 2007, and died of cancer a week after the 2007 sentence was handed down. Watts is now suspected to have killed more than 100 women, which would make him the most prolific serial killer in American history.",1970,8,1.75
Belle Gunness,United States,1884,1908,14,40,"Norwegian-born murder-for-profit killer who murdered her suitors and relatives in Indiana. High possibility of committing over 40 murders. May have faked her own death in the fire that destroyed her home in 1908; her children had died of strychnine poisoning before the fire, and the woman's body found next to them was decapitated and, reportedly, smaller than Gunness' own. Ultimate fate unknown.",1880,24,0.5833333333333334
Philipp Tyurin,Soviet Union,1945,1946,14,29,"Known as the ""Leningrad Maniac"" and the ""Hellraiser""; murdered people for monetary reasons at his hut in Leningrad; executed 1947.",1940,1,14.0
Zdzisław Marchwicki,Poland,1964,1970,14,21,"Also known as Vampire of Zagłębie. Killed 14 women in 1964–1970 in Poland's region of Dąbrowa Basin. Zdzisław Marchwicki was most likely the man responsible for the killings; however, his guilt remains in dispute. Executed in 1977.",1960,6,2.3333333333333335
Julio Pérez Silva,Chile,1998,2001,14,19,Known as The Psychopath from Alto Hospicio; killed 14 women. Sentenced to life imprisonment in 2004.,1990,3,4.666666666666667
Monster of Florence,Italy,1968,1985,14,16,"Unidentified killer who shot couples in lovers lanes and mutilated the women, taking their sexual organs and in the last two cases, also their left breast. 69-year-old farmer Pietro Pacciani was controversially convicted of 14 crimes in 1994 and sentenced to life in prison, but he was released following allegations that the scant evidence had been planted in an attempt to close the case, which was by then the largest and most mediatic in Italy's criminal history. Pacciani was scheduled for retrial in 1998 when he died after taking medication contraindicated to his heart problems. Pacciani's two alleged accomplices, Mario Vanni and Giancarlo Lotti, were sentenced to life and 30 years in prison, respectively. Some believe that none of the accused were guilty, and that Lotti incriminated himself and the other two because he was homeless and wanted to live in prison.",1960,17,0.8235294117647058
Joachim Kroll,West Germany,1955,1976,14,14,"Known as the ""Ruhr Cannibal"" and ""The Duisburg Man-Eater""; died from a heart attack in prison in 1991.",1950,21,0.6666666666666666
Arthur Shawcross,United States,1972,1989,14,14,"Committed arson and burglary, served two years of a five-year sentence. Within a year of his release, he raped and murdered two children in 1972. Under a plea bargain, he was sentenced to 25 years. Released after serving 14⁠1/2⁠ years, he began killing again a year later, targeting sex workers. Known as the ""Genesee River Killer"", ""Genesee River Strangler"", ""Rochester Strangler"", and ""Monster of the Rivers"", he strangled and battered his victims. Sentenced to life without parole. Died of cardiac arrest in 2008.",1970,17,0.8235294117647058
Naceur Damergi,Tunisia,1980,1988,14,14,Raped and killed minors in the Nabeul region; executed by hanging in 1990.,1980,8,1.75
Muthukutty Chandran,India,1985,1986,14,14,"Committed 14 robbery-murders between 1985 and 1986 in Kerala, executed by hanging on 6 July 1991.",1980,1,14.0
Marcelo Costa de Andrade,Brazil,1991,2000,14,14,Known as The Vampire of Niterói. Raped and killed 14 children in Rio de Janeiro and Niterói. Drank the blood of his victims. Found not guilty by reason of insanity.,1990,9,1.5555555555555556
Sergey Shipilov,Russia,1995,1999,14,14,"Known as the ""Velsk Chikatilo""; killed female hitchhikers in the town of Velsk, most of them while out on prison leave; sentenced to life imprisonment.",1990,4,3.5
Dorángel Vargas,Venezuela,1997,1999,14,14,"Homeless cannibal known as ""The People Eater"" (El Comegente) and ""The Hannibal Lecter of the Andes"". Murdered a homeless man and was institutionalized. After escaping the institution, he went on to kill ten other men and was arrested. In 2016, he and several other inmates killed three others and Vargas fed their remains to them.",1990,2,7.0
Hua Ruizhuo,China,1998,2001,14,14,Was responsible for the murders of 14 sex workers in Beijing's Chaoyang District.,1990,3,4.666666666666667
Denis Pischikov,Russia,2002,2003,14,14,"Known at the ""Shivering Creature""; robbed and killed elderly people around the Moscow Oblast and Vladimir Oblast; sentenced to life imprisonment.",2000,1,14.0
Abdufatto Zamanov,Russia,2002,2004,14,14,Killed people out of personal hostility; also raped two young girls; sentenced to life imprisonment.,2000,2,7.0
Jeong Nam-gyu,South Korea,2004,2006,14,14,"Kidnapped, raped and murdered people; killed himself.",2000,2,7.0
Amir Qayyum,Pakistan,2005,2014,14,14,"Known as ""The brick killer"". Killed 14 homeless men with rocks or bricks when they were asleep. Sentenced to death in May 2006.",2000,9,1.5555555555555556
Denis Kazungu,Rwanda,2023,2023,14,14,"Murdered 14 people at his home in Kigali, arrested and pleaded guilty in September 2023.",2020,0,inf
Jake Bird,United States,1930,1947,13,46,Sentenced to death for the murders of two people; confessed to 44 other murders; 11 were substantiated and he was suspected in the others. Executed by hanging in 1949.,1930,17,0.7647058823529411
Cleveland Torso Murderer,United States,1934,1938,13,40,"Unidentified serial killer, also known as ""The Mad Butcher of Kingsbury Run"", who targeted drifters and derelicts, of whom only two were identified, between 1934 and 1938 in Cleveland, Ohio.",1930,4,3.25
Kaspars Petrovs,Latvia,2003,2012,13,38,"Confessed to strangling 38 elderly residents of Riga, Latvia, in 2003. Convicted and sentenced to life imprisonment for the robbery and murder of 13.",2000,9,1.4444444444444444
Peter Sutcliffe,United Kingdom,1975,1980,13,33,"Killed at least 13 women between 30 October 1975 and 17 November 1980. Most victims were killed by a combination of bludgeoning and stabbing, and all but two were killed in the county of Yorkshire. Owing to the modus operandi and location of the murders, Sutcliffe became known as the ""Yorkshire Ripper."" Sentenced to 20 concurrent life sentences. After three years he was sent to a secure psychiatric facility, where he served 25 years before being found ""fit to leave"" in 2009. Government officials and courts ruled in 2010 that he would never be released. In 2015, he was declared ""no longer mentally ill"", and transferred to a maximum security prison. After his 1981 conviction police investigated 60 unsolved murders and attempted murders across Britain they thought Sutcliffe could be responsible for, but were able to eliminate him from 40. He has since also been linked by several investigators to the murder of Carol Wilkinson, for which an innocent man spent many years in prison. Sutcliffe died in hospital on 13 November 2020 at age 74, after being diagnosed with COVID-19.",1970,5,2.6
Fosaville Serial Killer,South Africa,1999,2003,13,26,"Kidnapped, bound, and strangled at least 13 women in Fosaville, South Africa. He may also be responsible for the ""Riverman"" murders.",1990,4,3.25
William Suff,United States,1986,1992,13,23,"Previously served 10 years of a 70-year sentence for beating his baby daughter to death. Beginning two years after his release, this county store clerk raped, stabbed, strangled, and sometimes mutilated 12 or more sex workers in Riverside County, California. Known as the ""Riverside Prostitute Killer"" and the ""Lake Elsinore Killer."" Sentenced to death.",1980,6,2.1666666666666665
Richard Ramirez,United States,1984,1985,13,20,"Killed 13 people between 28 June 1984, and 24 August 1985, in Los Angeles. Known as the ""Night Stalker"". Ramirez was sentenced to death in 1989, and died of B-cell lymphoma in 2013 while still on death row.",1980,1,13.0
Sleepy Hollow Killer,South Africa,1990,0,13,16,"Raped and murdered women, mostly sex workers, around Pietermaritzburg and the Midlands of KwaZulu-Natal.",1990,0,0.0
Francisco Antonio Laureana,Argentina,1974,1975,13,13,"Raped 15 women in San Isidro, killing 13 of them. Shot and killed during a firefight with police.",1970,1,13.0
Joseph James DeAngelo,United States,1979,1986,13,13,"Known as the ""Golden State Killer"", ""Original Night Stalker"", and ""East Area Rapist"". A police officer who committed at least 13 murders, 50 rapes, and 120 burglaries across California in the 1970s and 1980s. He was identified and arrested in 2018 after DNA evidence confirmed it was him. In 2020, he pleaded guilty and was sentenced to life in prison without parole.",1970,7,1.8571428571428572
Tamara Samsonova,Russia,1995,2015,13,13,"Known as the ""Granny Ripper""; killed and allegedly cannibalized people in her apartment; committed to a psychiatric clinic.",1990,20,0.65
Boston Strangler,United States,1962,1964,13,13,"Although Albert DeSalvo was widely thought to be the Boston Strangler, police and others analysing the case have long doubted the truth of his confession. Sentenced to life for a series of rapes, he was murdered in prison. DeSalvo's body was exhumed for DNA testing, and compared to a substance found on the exhumed body of the Boston Strangler's last victim. In 2001, it was declared not to match, but in 2013 officials announced that improvements in DNA extraction technology produced viable samples from the degraded evidence. DeSalvo's body was reexhumed and found to match.",1960,2,6.5
Herbert Mullin,United States,1972,1973,13,13,"Despite detailed confessions, prosecutors decided not to try him for the first three crimes, instead focusing on crimes that conflicted with his insanity plea. Sentenced to imprisonment for life.",1970,1,13.0
